StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,race,race_10_TEXT,age,gender,edu,usa,eng,rel_aff,rel_aff_13_TEXT,evang,religio,polaff,polaff_4_TEXT,pol_rd,ideo,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,SLB_12,SLB_11,SLB_10,SLB_9,SLB_8,SLB_7,SLB_6,SLB_5,SLB_4,SLB_3,SLB_2,SLB_1,reflect,manchk,WhiteBias_Concern,RelFreedom_Concern,ChristBias_Concern,AP_THERM._1,AP_ELECT,OCI_1,OCI_2,OCI_3,OCI_4,PBOC_1,PBOC_2,PBOC_3,PBOC_4,Fight4Christian,Fight4White,Fight4Black,Fight4Muslims,Fight4Jews,Fight4NonRelig,Fight4Latin,AP_POLID,AP_GEN_1,AP_IDEO,AP_RACE_1,AP_RELAFF_1,ATTCHK,PQ_RACE_1,PQ_RACE_2,PQ_RACE_3,PQ_LGBT_4,PQ_LGBT_5,PQ_LGBT_6,PQ_REL_7,PQ_REL_8,PQ_REL_9,PQ_REL_10,PQ_REL_11,PQ_N_12,PQ_N_13,PQ_N_14,PQ_N_15,Q114,aid,FL_6_DO,PerceivedBias_DO
2/6/23 11:33,2/6/23 11:39,100,349,1,2/6/23 11:39,EN,1,1,NA,33,1,5,1,1,1,NA,1,6,3,NA,1,4,3,7,7,7,4,4,5,5,6,4,4,4,4,3,4,5,5,5,It's humbling to think about how our religious beliefs can truly impact our nation for the benefit of people.,4,7,7,5,7,1,5,5,6,6,6,3,5,5,3,3,4,4,4,6,5,2,4,1,3,3,7,4,7,7,7,7,7,7,1,5,5,6,5,5,6,4,NA,63e1478a-58b8-fd6f-b2b0-a139e1939d75,Condition1:WhiteBias,PBC_1|PBW_1|PBRF_1
2/6/23 11:33,2/6/23 11:40,100,386,1,2/6/23 11:40,EN,0.899999976,1,NA,22,2,3,1,1,1,NA,2,7,3,NA,2,4,7,6,5,4,7,5,7,6,5,3,7,6,5,4,7,6,5,4,"It was very interesting and very good, I thought it was very insightful and very informative. I think a lot of people will want to read it, know more about it. That's my opinion on the interview.",1,4,4,4,55,4,1,1,1,1,1,7,1,1,4,4,4,4,4,4,4,3,4,4,4,4,7,7,6,5,4,7,4,7,5,6,4,7,7,6,4,5,The survey was great!,63e14769-4433-aa7c-1d27-cf06d3220d47,Condition2:ChristianBias,PBRF_1|PBW_1|PBC_1
2/6/23 11:32,2/6/23 11:40,100,457,1,2/6/23 11:40,EN,1,3,NA,52,2,2,1,1,3,NA,NA,5,3,NA,1,4,4,4,4,5,6,4,1,1,4,7,5,5,5,6,4,4,4,5,We all have a right to choose how we live our lives it’s up to us if we want something different to happen,2,4,4,4,10,1,4,4,4,4,4,4,4,4,4,4,4,4,6,4,3,3,1,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Thank you for the opportunity,63e147a5-eb6c-d4b5-c7cf-b7a3fdd7f264,Condition3:ReligiousFreedom,PBW_1|PBRF_1|PBC_1
2/6/23 11:32,2/6/23 11:40,100,497,1,2/6/23 11:40,EN,1,1,NA,24,2,2,1,1,1,NA,2,5,3,NA,1,4,7,5,7,7,7,4,4,2,4,4,2,5,7,7,6,5,4,5,"They believe white people have to be silent, otherwise we will be considered as “racist”.",1,7,3,4,51,7,2,1,1,4,2,7,1,4,4,7,4,5,4,5,4,3,4,4,7,4,7,7,5,7,4,2,1,4,4,3,5,4,4,4,5,6,It was good.,63e14747-bef2-db08-9363-fea6c8980efe,Condition1:WhiteBias,PBRF_1|PBC_1|PBW_1
2/6/23 11:35,2/6/23 11:41,100,373,1,2/6/23 11:41,EN,1,1,NA,44,1,2,1,1,3,NA,NA,3,2,NA,NA,3,1,2,6,5,1,7,5,5,3,3,5,5,6,6,6,5,2,4,We need to work on our economy first and foremost,1,1,1,1,67,5,1,1,1,1,3,5,1,1,4,4,4,4,4,4,4,1,5,5,5,5,7,4,4,4,4,4,4,4,4,3,4,4,3,2,6,4,NA,63e14843-014a-0da2-ee49-b6ee28866c47,Condition4:Economy(Control) ,PBRF_1|PBC_1|PBW_1
2/6/23 11:33,2/6/23 11:42,100,515,1,2/6/23 11:42,EN,0.899999976,1,NA,58,2,5,1,1,1,NA,2,5,1,NA,NA,4,1,1,6,7,1,6,7,7,3,2,2,3,6,7,5,4,2,3,It states that people should feel free to celebrate or practice their religion in public without the government interfering,1,3,7,5,51,4,5,6,3,5,4,5,6,5,5,4,4,3,4,2,4,1,4,5,5,6,7,5,4,5,4,3,3,5,7,1,5,3,4,5,3,4,NA,63e14793-e15d-bf7c-458b-03eca46f1135,Condition3:ReligiousFreedom,PBW_1|PBRF_1|PBC_1
2/6/23 11:37,2/6/23 11:42,100,312,1,2/6/23 11:42,EN,1,1,NA,47,2,2,1,1,1,NA,1,7,1,NA,NA,7,1,7,7,7,7,1,1,1,7,7,1,1,7,7,7,1,1,7,That it's about different ethnic groups,1,7,7,7,100,7,1,1,1,1,7,7,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Great Survey,63e1487d-1d44-830a-b956-e5b1d617954c,Condition4:Economy(Control) ,PBC_1|PBW_1|PBRF_1
2/6/23 11:32,2/6/23 11:42,100,584,1,2/6/23 11:42,EN,0.899999976,1,NA,47,2,5,1,1,3,NA,NA,3,3,NA,1,4,6,6,6,6,4,3,6,6,2,2,4,5,7,7,6,4,6,2,It is seen as racist if you talk about you or white or you have European history,1,6,4,4,56,5,3,2,4,6,4,5,5,6,7,6,4,4,5,3,4,1,6,7,6,7,7,2,1,2,4,1,3,4,6,6,4,4,2,6,2,6,NA,63e14798-45e7-b269-a0f4-4b646826bb90,Condition1:WhiteBias,PBRF_1|PBW_1|PBC_1
2/6/23 11:37,2/6/23 11:42,100,306,1,2/6/23 11:42,EN,0.899999976,1,NA,59,2,3,1,1,1,NA,2,6,2,NA,NA,7,6,6,6,6,6,4,4,4,5,4,3,3,5,5,4,3,4,5,States hiw we were founded on religion and now if display our religion in any way we r prosecuted.,1,3,3,3,51,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,2,5,3,5,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,63e1480a-2ae0-8ae2-c34a-72d3994faf5c,Condition3:ReligiousFreedom,PBRF_1|PBW_1|PBC_1
2/6/23 11:37,2/6/23 11:43,100,389,1,2/6/23 11:43,EN,0.899999976,1,NA,35,1,6,1,1,1,NA,1,7,2,NA,NA,7,7,6,6,7,5,6,7,6,5,6,7,6,7,6,6,6,7,6,Americas got the virtuals of the best demographic timea,1,7,6,7,18,7,6,7,1,5,7,5,2,5,7,5,6,3,3,5,6,2,7,7,6,6,7,1,2,3,1,7,5,7,7,6,6,6,7,6,5,6,loving,63e1489e-7bc8-776b-7514-ec99283d497a,Condition2:ChristianBias,PBC_1|PBRF_1|PBW_1
2/6/23 11:38,2/6/23 11:43,100,300,1,2/6/23 11:43,EN,0.899999976,1,NA,47,1,2,1,1,1,NA,2,7,1,NA,NA,7,7,7,7,7,7,1,2,3,1,5,3,3,4,4,6,5,4,4,I think that all religious people have the right to have everything done with them and be as one unit,1,7,7,7,100,7,4,4,5,4,4,6,6,6,7,7,4,4,7,2,4,1,7,7,7,7,7,4,4,4,6,1,2,7,7,7,7,1,2,6,1,3,It always good about the Christianity,63e1490c-588d-58a9-1963-28e5b160c18e,Condition2:ChristianBias,PBW_1|PBC_1|PBRF_1
2/6/23 11:39,2/6/23 11:44,100,293,1,2/6/23 11:44,EN,1,1,NA,72,1,3,1,1,1,NA,1,5,2,NA,NA,4,5,5,5,4,5,5,5,5,5,5,6,6,5,6,5,6,5,4,Tricare opinion,4,3,2,3,49,4,6,5,5,5,6,6,6,6,4,4,4,4,5,4,4,2,5,4,5,5,5,6,6,5,6,6,6,6,6,5,4,5,6,6,1,7,None,63e1492b-c9b9-a805-9ede-aaf711d8fd4b,Condition1:WhiteBias,PBW_1|PBC_1|PBRF_1
2/6/23 11:33,2/6/23 11:44,100,705,1,2/6/23 11:44,EN,1,1,NA,52,2,6,1,1,2,NA,NA,5,3,NA,1,4,5,5,5,7,7,3,4,5,5,5,3,5,7,7,4,1,4,4,I think the president or  someone important decided that the biggest problem for our country is the economy,1,1,1,1,50,5,1,1,1,1,4,5,1,1,4,4,4,4,4,4,4,3,4,4,4,4,7,3,3,4,4,4,5,5,7,3,5,4,3,3,3,5,Thus was very interesting. Thank you for allowing me to take your survey,63e147b2-c980-2a92-639c-a9d40806bc44,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1
2/6/23 11:35,2/6/23 11:45,100,564,1,2/6/23 11:45,EN,1,1,NA,70,2,2,1,1,2,NA,NA,6,1,NA,NA,4,7,7,7,7,7,7,5,6,5,5,4,5,6,5,6,4,4,5,People should be allowed to practice their religion no matter what and not have to worry about consequences,1,4,7,7,100,7,2,2,1,2,2,6,4,4,7,7,6,4,4,4,4,3,1,4,5,5,7,5,6,5,4,4,7,4,7,4,4,7,4,6,4,6,NA,63e14839-2e36-270c-9da7-6529529603dc,Condition3:ReligiousFreedom,PBW_1|PBRF_1|PBC_1
2/6/23 11:37,2/6/23 11:45,100,476,1,2/6/23 11:45,EN,1,5,NA,29,1,5,1,1,5,NA,NA,7,1,NA,NA,7,2,6,6,6,6,2,6,6,3,5,7,7,6,6,6,6,6,7,The assault on practicing your religious freedoms without being judged by the public,1,7,7,7,100,7,1,1,1,1,7,7,1,1,7,4,4,7,7,1,4,1,7,7,4,7,7,7,7,7,4,7,1,7,7,7,1,1,7,7,7,7,It was a fun survey,63e14894-d048-db86-6c08-19afe70e4677,Condition3:ReligiousFreedom,PBW_1|PBRF_1|PBC_1
2/6/23 11:33,2/6/23 11:46,100,786,1,2/6/23 11:46,EN,0.899999976,3,NA,43,2,3,1,1,3,NA,NA,3,3,NA,1,4,4,4,4,7,6,4,3,4,5,5,4,2,7,7,4,4,4,4,Questions about God in the United States,2,4,5,5,34,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,7,4,2,4,7,3,1,3,6,4,4,4,4,4,3,1,NA,63e147a8-5dc6-8fa6-a033-29a42a8fef7e,Condition2:ChristianBias,PBW_1|PBC_1|PBRF_1
2/6/23 11:40,2/6/23 11:46,100,382,1,2/6/23 11:46,EN,1,1,NA,33,1,6,1,1,1,NA,1,6,2,NA,NA,2,6,7,4,7,6,7,3,7,7,7,4,6,5,6,4,4,5,6,it was taking about discrimination of Christian,1,6,5,6,64,7,1,1,2,2,4,6,2,2,6,6,7,3,3,4,7,2,6,1,4,7,7,7,5,4,1,1,4,3,6,5,4,4,4,6,6,1,nope,63e1488f-6bbc-6a92-d2d9-04ae95c61d27,Condition2:ChristianBias,PBC_1|PBW_1|PBRF_1
2/6/23 11:36,2/6/23 11:48,100,696,1,2/6/23 11:48,EN,1,1,NA,59,2,2,1,1,12,NA,NA,5,1,NA,NA,4,4,4,4,4,4,4,6,6,6,6,4,4,4,4,5,5,5,4,Religion people have to choose yes or no,1,4,4,4,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,Its all good,63e14859-6f8c-888e-6396-765ab40381f8,Condition3:ReligiousFreedom,PBC_1|PBRF_1|PBW_1
2/6/23 11:35,2/6/23 11:48,100,784,1,2/6/23 11:48,EN,0.899999976,3,NA,30,2,4,1,1,1,NA,2,5,3,NA,2,4,4,6,7,1,7,4,6,6,4,4,1,1,7,7,4,1,5,4,Our economy is being attacked? We need to prove our economic system?,3,1,1,1,0,1,4,3,5,4,7,1,7,7,1,1,1,1,1,1,1,4,2,1,4,1,7,7,7,4,7,7,7,2,2,4,4,7,7,4,7,7,NA,63e14823-7b78-0e82-7ab0-db2ac514331e,Condition4:Economy(Control) ,PBRF_1|PBC_1|PBW_1
2/6/23 11:41,2/6/23 11:48,100,426,1,2/6/23 11:48,EN,1,1,NA,40,1,5,1,1,3,NA,NA,7,1,NA,NA,1,7,7,7,7,7,7,5,6,7,7,6,7,6,7,7,7,6,7,Just wanted you to know that I am not a bot person and I am very excited,4,7,7,7,81,7,1,1,1,2,7,6,2,7,7,6,7,4,5,7,6,1,6,1,6,6,7,6,6,6,6,6,6,6,6,6,6,1,6,5,7,5,How far are we going to get the house and how,63e14955-c60c-71c0-596d-f2a7e3f485f3,Condition4:Economy(Control) ,PBW_1|PBRF_1|PBC_1
2/6/23 11:39,2/6/23 11:48,100,546,1,2/6/23 11:48,EN,1,1,NA,49,1,2,1,1,1,NA,1,4,4,Nothing,NA,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,It's bad to talk about being white,1,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,63e148f4-539d-f9c9-456b-22ffcfd431df,Condition1:WhiteBias,PBRF_1|PBC_1|PBW_1
2/6/23 11:38,2/6/23 11:48,100,621,1,2/6/23 11:48,EN,1,1,NA,77,1,6,1,1,1,NA,2,4,3,NA,2,4,2,2,6,3,2,6,6,5,4,4,4,5,5,5,5,4,3,3,"Politician is arguing in support of “white” values and while it may sound acceptable, it’s racist.",1,6,2,5,1,2,6,6,6,6,6,3,6,5,5,5,3,3,3,3,3,1,4,7,7,7,7,2,2,2,2,2,2,2,6,3,5,2,3,3,3,2,NA,63e148ec-7b7a-4626-a6f4-bf293fe0a30d,Condition1:WhiteBias,PBRF_1|PBW_1|PBC_1
2/6/23 11:39,2/6/23 11:49,100,582,1,2/6/23 11:49,EN,1,1,NA,NA,2,6,1,1,3,NA,NA,6,1,NA,NA,4,4,5,5,5,5,5,6,6,5,3,3,4,6,6,5,4,3,4,The writer feels that white persons are being treated unfairly nd cannot own their European heritage.,1,5,6,5,50,4,3,5,2,4,5,4,5,6,7,7,4,4,4,4,4,1,6,5,7,7,7,3,2,4,4,3,4,3,6,2,4,2,3,5,4,3,NA,63e14901-2679-f7a3-619d-630a2495edf0,Condition1:WhiteBias,PBW_1|PBC_1|PBRF_1
2/6/23 11:39,2/6/23 11:49,100,585,1,2/6/23 11:49,EN,0.899999976,1,NA,67,1,3,1,1,1,NA,2,1,2,NA,NA,3,3,4,4,3,3,5,5,5,3,4,4,4,5,5,4,4,4,4,Do not agree.,1,5,4,4,39,3,5,5,5,5,5,4,5,5,5,5,3,2,3,3,3,1,6,6,7,6,7,5,3,3,3,3,2,2,3,3,6,2,4,5,3,3,NA,63e1492c-7920-93ef-8d52-9a444bc1a8aa,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1
2/6/23 11:39,2/6/23 11:50,100,671,1,2/6/23 11:50,EN,0.899999976,1,NA,67,1,6,1,1,1,NA,2,4,1,NA,NA,5,5,4,5,6,4,4,4,3,4,4,3,3,6,6,4,3,4,4,Economy is affecting people's lives.,1,3,3,3,50,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,2,5,3,4,4,7,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,NA,63e148ff-47a4-8a3f-e52d-90e917aaac4d,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1
2/6/23 11:39,2/6/23 11:51,100,744,1,2/6/23 11:51,EN,0.899999976,1,NA,69,1,2,1,1,3,NA,NA,3,1,NA,NA,6,6,6,5,4,3,4,5,5,5,5,5,5,6,6,3,3,5,5,"everyone should belong to which ever group they desire and stay away from people who like to make trouble ,they can keep there negative comments to themselves and so should you",3,4,5,5,52,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,4,5,5,4,5,4,5,3,5,5,5,4,4,4,5,4,4,true good questions,63e148ef-7c7e-a2ba-9123-3d7b5d720f79,Condition3:ReligiousFreedom,PBW_1|PBC_1|PBRF_1
2/6/23 11:40,2/6/23 11:53,100,824,1,2/6/23 11:53,EN,1,1,NA,73,1,5,1,1,1,NA,2,7,3,NA,1,4,7,7,7,7,7,4,5,2,6,6,1,1,7,7,1,1,7,7,That there is an aggressive attempt to quash all religious activity or participation in all forms of public and private government.,1,1,7,1,100,7,1,7,1,7,1,7,7,1,7,7,7,7,7,7,7,3,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,63e14904-61f6-fe41-e6c8-3ef2947922c0,Condition3:ReligiousFreedom,PBC_1|PBW_1|PBRF_1
2/6/23 11:40,2/6/23 11:54,100,832,1,2/6/23 11:54,EN,1,1,NA,67,1,6,1,1,1,NA,2,2,1,NA,NA,7,2,2,6,6,4,5,3,5,5,5,3,3,6,6,4,3,3,4,justice for all,1,3,3,3,41,4,2,2,2,4,5,4,5,4,4,4,4,4,4,4,4,1,5,3,4,3,7,4,4,4,4,4,4,5,5,5,3,5,5,5,3,3,nothing,63e1490f-2eb2-a1e3-e705-10fda9afe63c,Condition3:ReligiousFreedom,PBC_1|PBW_1|PBRF_1
