StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,race,race_10_TEXT,age,gender,edu,usa,eng,rel_aff,rel_aff_13_TEXT,evang,religio,polaff,polaff_4_TEXT,pol_rd,ideo,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,SLB_12,SLB_11,SLB_10,SLB_9,SLB_8,SLB_7,SLB_6,SLB_5,SLB_4,SLB_3,SLB_2,SLB_1,reflect,manchk,WhiteBias_Concern,RelFreedom_Concern,ChristBias_Concern,AP_THERM._1,AP_ELECT,OCI_1,OCI_2,OCI_3,OCI_4,PBOC_1,PBOC_2,PBOC_3,PBOC_4,Fight4Christian,Fight4White,Fight4Black,Fight4Muslims,Fight4Jews,Fight4NonRelig,Fight4Latin,AP_POLID,AP_GEN_1,AP_IDEO,AP_RACE_1,AP_RELAFF_1,ATTCHK,PQ_RACE_1,PQ_RACE_2,PQ_RACE_3,PQ_LGBT_4,PQ_LGBT_5,PQ_LGBT_6,PQ_REL_7,PQ_REL_8,PQ_REL_9,PQ_REL_10,PQ_REL_11,PQ_N_12,PQ_N_13,PQ_N_14,PQ_N_15,Q114,FL_6_DO,PerceivedBias_DO,PolControversial,SpeechOffensive,Condition,Condition_AWB,Condition_ACB
2/6/23 11:32,2/6/23 11:42,100,584,1,2/6/23 11:42,EN,0.899999976,1,NA,47,2,5,1,1,3,NA,NA,3,3,NA,1,4,6,6,6,6,4,3,6,6,2,2,4,5,7,7,6,4,6,2,It is seen as racist if you talk about you or white or you have European history,1,6,4,4,56,5,3,2,4,6,4,5,5,6,7,6,4,4,5,3,4,1,6,7,6,7,7,2,1,2,4,1,3,4,6,6,4,4,2,6,2,6,NA,Condition1:WhiteBias,PBRF_1|PBW_1|PBC_1,4.5,3.75,Anti-White,Anti-White,Anti-White
2/6/23 11:37,2/6/23 11:42,100,306,1,2/6/23 11:42,EN,0.899999976,1,NA,59,2,3,1,1,1,NA,2,6,2,NA,NA,7,6,6,6,6,6,4,4,4,5,4,3,3,5,5,4,3,4,5,States hiw we were founded on religion and now if display our religion in any way we r prosecuted.,1,3,3,3,51,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,2,5,3,5,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,Condition3:ReligiousFreedom,PBRF_1|PBW_1|PBC_1,4,3.75,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 11:37,2/6/23 11:43,100,389,1,2/6/23 11:43,EN,0.899999976,1,NA,35,1,6,1,1,1,NA,1,7,2,NA,NA,7,7,6,6,7,5,6,7,6,5,6,7,6,7,6,6,6,7,6,Americas got the virtuals of the best demographic timea,1,7,6,7,18,7,6,7,1,5,7,5,2,5,7,5,6,3,3,5,6,2,7,7,6,6,7,1,2,3,1,7,5,7,7,6,6,6,7,6,5,6,loving,Condition2:ChristianBias,PBC_1|PBRF_1|PBW_1,4.25,4.75,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 11:38,2/6/23 11:43,100,300,1,2/6/23 11:43,EN,0.899999976,1,NA,47,1,2,1,1,1,NA,2,7,1,NA,NA,7,7,7,7,7,7,1,2,3,1,5,3,3,4,4,6,5,4,4,I think that all religious people have the right to have everything done with them and be as one unit,1,7,7,7,100,7,4,4,5,4,4,6,6,6,7,7,4,4,7,2,4,1,7,7,7,7,7,4,4,4,6,1,2,7,7,7,7,1,2,6,1,3,It always good about the Christianity,Condition2:ChristianBias,PBW_1|PBC_1|PBRF_1,4.5,4.25,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 11:33,2/6/23 11:44,100,705,1,2/6/23 11:44,EN,1,1,NA,52,2,6,1,1,2,NA,NA,5,3,NA,1,4,5,5,5,7,7,3,4,5,5,5,3,5,7,7,4,1,4,4,I think the president or  someone important decided that the biggest problem for our country is the economy,1,1,1,1,50,5,1,1,1,1,4,5,1,1,4,4,4,4,4,4,4,3,4,4,4,4,7,3,3,4,4,4,5,5,7,3,5,4,3,3,3,5,Thus was very interesting. Thank you for allowing me to take your survey,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1,2.25,1,Control,Control,Control
2/6/23 11:35,2/6/23 11:45,100,564,1,2/6/23 11:45,EN,1,1,NA,70,2,2,1,1,2,NA,NA,6,1,NA,NA,4,7,7,7,7,7,7,5,6,5,5,4,5,6,5,6,4,4,5,People should be allowed to practice their religion no matter what and not have to worry about consequences,1,4,7,7,100,7,2,2,1,2,2,6,4,4,7,7,6,4,4,4,4,3,1,4,5,5,7,5,6,5,4,4,7,4,7,4,4,7,4,6,4,6,NA,Condition3:ReligiousFreedom,PBW_1|PBRF_1|PBC_1,3,1.75,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 11:40,2/6/23 11:46,100,382,1,2/6/23 11:46,EN,1,1,NA,33,1,6,1,1,1,NA,1,6,2,NA,NA,2,6,7,4,7,6,7,3,7,7,7,4,6,5,6,4,4,5,6,it was taking about discrimination of Christian,1,6,5,6,64,7,1,1,2,2,4,6,2,2,6,6,7,3,3,4,7,2,6,1,4,7,7,7,5,4,1,1,4,3,6,5,4,4,4,6,6,1,nope,Condition2:ChristianBias,PBC_1|PBW_1|PBRF_1,2.5,1.5,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 11:38,2/6/23 11:48,100,621,1,2/6/23 11:48,EN,1,1,NA,77,1,6,1,1,1,NA,2,4,3,NA,2,4,2,2,6,3,2,6,6,5,4,4,4,5,5,5,5,4,3,3,"Politician is arguing in support of “white” values and while it may sound acceptable, it’s racist.",1,6,2,5,1,2,6,6,6,6,6,3,6,5,5,5,3,3,3,3,3,1,4,7,7,7,7,2,2,2,2,2,2,2,6,3,5,2,3,3,3,2,NA,Condition1:WhiteBias,PBRF_1|PBW_1|PBC_1,5.5,6,Anti-White,Anti-White,Anti-White
2/6/23 11:39,2/6/23 11:49,100,582,1,2/6/23 11:49,EN,1,1,NA,NA,2,6,1,1,3,NA,NA,6,1,NA,NA,4,4,5,5,5,5,5,6,6,5,3,3,4,6,6,5,4,3,4,The writer feels that white persons are being treated unfairly nd cannot own their European heritage.,1,5,6,5,50,4,3,5,2,4,5,4,5,6,7,7,4,4,4,4,4,1,6,5,7,7,7,3,2,4,4,3,4,3,6,2,4,2,3,5,4,3,NA,Condition1:WhiteBias,PBW_1|PBC_1|PBRF_1,5,3.5,Anti-White,Anti-White,Anti-White
2/6/23 11:39,2/6/23 11:49,100,585,1,2/6/23 11:49,EN,0.899999976,1,NA,67,1,3,1,1,1,NA,2,1,2,NA,NA,3,3,4,4,3,3,5,5,5,3,4,4,4,5,5,4,4,4,4,Do not agree.,1,5,4,4,39,3,5,5,5,5,5,4,5,5,5,5,3,2,3,3,3,1,6,6,7,6,7,5,3,3,3,3,2,2,3,3,6,2,4,5,3,3,NA,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1,4.75,5,Control,Control,Control
2/6/23 11:39,2/6/23 11:50,100,671,1,2/6/23 11:50,EN,0.899999976,1,NA,67,1,6,1,1,1,NA,2,4,1,NA,NA,5,5,4,5,6,4,4,4,3,4,4,3,3,6,6,4,3,4,4,Economy is affecting people's lives.,1,3,3,3,50,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,2,5,3,4,4,7,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,NA,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1,3.5,3,Control,Control,Control
2/6/23 11:40,2/6/23 11:53,100,824,1,2/6/23 11:53,EN,1,1,NA,73,1,5,1,1,1,NA,2,7,3,NA,1,4,7,7,7,7,7,4,5,2,6,6,1,1,7,7,1,1,7,7,That there is an aggressive attempt to quash all religious activity or participation in all forms of public and private government.,1,1,7,1,100,7,1,7,1,7,1,7,7,1,7,7,7,7,7,7,7,3,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,Condition3:ReligiousFreedom,PBC_1|PBW_1|PBRF_1,2.5,4,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 11:40,2/6/23 11:54,100,832,1,2/6/23 11:54,EN,1,1,NA,67,1,6,1,1,1,NA,2,2,1,NA,NA,7,2,2,6,6,4,5,3,5,5,5,3,3,6,6,4,3,3,4,justice for all,1,3,3,3,41,4,2,2,2,4,5,4,5,4,4,4,4,4,4,4,4,1,5,3,4,3,7,4,4,4,4,4,4,5,5,5,3,5,5,5,3,3,nothing,Condition3:ReligiousFreedom,PBC_1|PBW_1|PBRF_1,4.5,2.5,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 11:36,2/6/23 11:59,100,1378,1,2/6/23 11:59,EN,1,1,NA,58,2,2,1,1,1,NA,2,5,1,NA,NA,4,4,4,5,5,4,5,7,7,1,1,4,4,4,4,4,4,4,4,People wanting their religious freedom back,1,3,7,4,67,4,3,3,3,3,4,5,4,3,4,4,4,4,4,4,4,1,5,6,5,5,7,5,5,5,5,4,4,5,5,5,5,5,4,4,3,5,NA,Condition3:ReligiousFreedom,PBC_1|PBW_1|PBRF_1,3.5,3,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 11:33,2/6/23 12:00,100,1601,1,2/6/23 12:00,EN,0.899999976,1,NA,38,2,6,1,1,1,NA,NA,7,3,NA,2,4,1,1,1,5,4,6,5,7,3,5,5,5,5,5,6,6,2,2,Someone interviewed shared their belief that Christian’s are discriminated against now,1,6,6,7,10,4,5,5,6,6,7,4,5,5,7,7,5,5,6,1,5,1,7,7,6,7,7,3,3,3,7,1,1,1,7,7,4,1,4,4,2,2,NA,Condition2:ChristianBias,PBC_1|PBW_1|PBRF_1,5.25,5.5,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 11:40,2/6/23 12:05,100,1475,1,2/6/23 12:05,EN,0.899999976,1,NA,53,2,2,1,1,1,NA,2,6,1,NA,NA,7,7,7,4,7,4,4,6,2,6,4,1,1,7,7,4,1,4,4,"I totally agree. They are taking God out of this country. We have always been a Christian county, and I don't believe that should change. First and foremost we should continue our christian beliefs.",1,7,7,7,100,7,1,4,1,4,4,5,4,1,7,4,4,4,4,4,4,1,4,5,4,6,7,4,4,4,4,4,1,6,6,4,4,4,5,6,2,3,NA,Condition2:ChristianBias,PBRF_1|PBW_1|PBC_1,3,2.5,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 11:39,2/6/23 12:05,100,1564,1,2/6/23 12:05,EN,0.899999976,1,NA,54,1,3,1,1,1,NA,1,7,3,NA,1,6,7,7,7,7,7,3,6,4,4,4,5,5,6,7,7,7,1,4,The person interviewed thinks white people are being discriminated against.,1,7,1,2,50,3,2,6,4,7,4,3,5,5,2,7,2,1,1,1,1,4,4,2,3,2,7,3,1,1,3,6,5,1,4,4,7,7,4,4,4,4,NA,Condition1:WhiteBias,PBC_1|PBRF_1|PBW_1,4.75,4.75,Anti-White,Anti-White,Anti-White
2/6/23 11:45,2/6/23 12:17,100,1901,1,2/6/23 12:17,EN,1,1,NA,36,2,5,1,1,1,NA,2,1,2,NA,NA,5,4,4,5,6,4,4,4,4,5,4,5,3,3,4,5,4,4,4,I cannot recall already,1,3,3,4,53,3,4,5,5,5,4,4,4,4,6,6,6,6,6,6,6,2,4,4,4,5,7,4,4,4,6,3,4,4,4,4,5,4,4,4,4,4,NA,Condition1:WhiteBias,PBC_1|PBRF_1|PBW_1,4,4.75,Anti-White,Anti-White,Anti-White
2/6/23 11:33,2/6/23 12:20,100,2800,1,2/6/23 12:20,EN,1,1,NA,64,2,2,1,1,1,NA,2,7,1,NA,NA,4,6,6,6,6,6,2,5,4,1,4,4,4,6,4,5,5,4,4,Racial injustice,1,5,5,5,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,Condition1:WhiteBias,PBW_1|PBRF_1|PBC_1,4,4,Anti-White,Anti-White,Anti-White
2/6/23 12:23,2/6/23 12:30,100,372,1,2/6/23 12:30,EN,1,1,NA,73,1,5,1,1,3,NA,NA,4,1,NA,NA,4,2,2,2,4,2,6,6,5,5,5,5,3,7,6,3,1,3,3,they say the country was founded on Christian beliefs. I feel we should obey all laws and this is not a reliogas issue,1,4,6,6,36,2,5,5,5,4,2,3,4,5,2,3,4,7,7,7,2,3,5,3,6,7,7,5,5,4,3,3,3,2,6,3,3,1,4,4,4,5,NA,Condition2:ChristianBias,PBC_1|PBRF_1|PBW_1,4,4.75,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 12:24,2/6/23 12:31,100,435,1,2/6/23 12:31,EN,1,1,NA,78,2,3,1,1,1,NA,1,7,1,NA,NA,7,7,7,7,7,6,3,4,5,4,5,4,4,6,6,5,5,2,4,I think it is becoming true,1,4,5,5,93,4,2,4,2,3,4,4,3,2,6,6,6,6,6,6,6,1,5,6,4,6,7,6,5,6,2,2,2,2,7,6,4,2,4,5,3,6,none,Condition3:ReligiousFreedom,PBRF_1|PBC_1|PBW_1,3.25,2.75,Rel_Freedom,Rel_Freedom,Rel_Freedom
2/6/23 12:24,2/6/23 12:32,100,491,1,2/6/23 12:32,EN,1,1,NA,73,2,3,1,1,2,NA,NA,2,3,NA,1,5,1,1,4,4,2,5,5,6,4,4,5,3,6,5,5,3,3,4,"The interviewee was saying that white people have been put in the defensive, and in some cases, offensive position…just for being white.",1,6,4,4,68,4,4,5,4,4,5,3,6,6,4,7,1,1,1,1,1,1,7,5,7,7,7,4,3,3,4,3,2,2,5,4,5,3,3,4,2,3,NA,Condition1:WhiteBias,PBW_1|PBRF_1|PBC_1,5.5,4.25,Anti-White,Anti-White,Anti-White
2/6/23 12:23,2/6/23 12:38,100,924,1,2/6/23 12:38,EN,1,1,NA,60,2,2,1,1,1,NA,1,3,1,NA,NA,5,4,4,5,5,3,2,5,5,4,5,4,5,6,5,5,3,3,3,That this candidate wants to see America and all Americans prosper,1,1,1,1,64,5,1,1,1,1,3,6,2,2,4,4,4,4,4,4,4,1,5,5,5,4,7,4,3,4,6,4,3,3,4,3,3,3,3,5,4,3,NA,Condition4:Economy(Control) ,PBW_1|PBC_1|PBRF_1,2.25,1,Control,Control,Control
2/6/23 12:24,2/6/23 12:39,100,920,1,2/6/23 12:39,EN,1,1,NA,76,1,5,1,1,3,NA,NA,5,3,NA,1,7,6,7,7,7,7,4,5,5,6,5,5,5,6,6,4,3,3,2,THAT CHRISTIANS ARE BEING DISCRIPMINATED AGAINS IN THIS COUUNTRY.  THIS IS EVIDENT EVERYWHERE FOR EXAMPLE CATHOLIC SCHOOL CHILDREN GETTING KICKED OUT OF A NATIONAL MEUSEUM,1,4,6,7,83,6,1,4,1,4,4,6,5,5,7,7,7,7,7,7,7,1,4,6,5,7,7,1,3,4,2,1,1,6,6,7,6,3,1,4,1,1,LIKE SURVEY MAKES PEOPLE THINK,Condition2:ChristianBias,PBRF_1|PBC_1|PBW_1,4,2.5,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 12:24,2/6/23 12:47,100,1418,1,2/6/23 12:47,EN,1,1,NA,73,2,3,1,1,3,NA,NA,6,2,NA,NA,4,4,4,7,7,7,4,6,7,7,4,6,6,4,5,6,6,2,2,"There is a difference between all races, and currently the biggest is that the whites are dropping lower and lower.",1,7,2,2,71,6,3,5,4,4,3,4,5,5,5,6,4,4,4,4,4,1,5,3,4,4,7,6,4,4,6,6,4,7,7,4,4,4,4,7,2,6,NA,Condition1:WhiteBias,PBRF_1|PBC_1|PBW_1,4.25,4,Anti-White,Anti-White,Anti-White
2/6/23 12:49,2/6/23 12:53,100,262,1,2/6/23 12:53,EN,0.800000012,1,NA,20,2,3,1,1,1,NA,2,4,1,NA,NA,4,4,7,7,7,7,4,4,4,4,4,4,4,4,4,7,4,4,4,I’m not sure,1,4,4,4,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,This survey was very easy to take,Condition2:ChristianBias,PBW_1|PBC_1|PBRF_1,4,4,Anti-Christian,Anti-Christian,Anti-Christian
2/6/23 12:49,2/6/23 12:54,100,313,1,2/6/23 12:54,EN,0.800000012,1,NA,60,1,5,1,1,1,NA,1,6,1,NA,NA,7,1,7,4,6,4,7,7,5,4,2,1,6,4,4,4,1,1,4,I agree with the statement,1,1,1,1,47,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,2,4,4,1,7,1,1,1,1,1,1,4,6,1,2,1,1,4,4,4,NA,Condition4:Economy(Control) ,PBC_1|PBRF_1|PBW_1,4,4,Control,Control,Control
2/6/23 12:52,2/6/23 12:54,100,168,1,2/6/23 12:54,EN,0.899999976,1,NA,28,2,5,1,1,1,NA,1,5,1,NA,NA,6,4,4,4,4,4,4,3,2,4,5,4,5,5,5,5,5,5,5,The conomy is struggling,1,4,4,NA,43,4,4,6,6,4,4,5,6,2,5,5,5,4,4,5,7,1,3,3,4,4,7,6,5,6,3,4,5,4,6,3,5,4,6,6,4,6,No,Condition4:Economy(Control) ,PBRF_1|PBW_1|PBC_1,3.75,5,Control,Control,Control
2/6/23 12:52,2/6/23 12:57,100,301,1,2/6/23 12:57,EN,1,1,NA,24,1,2,1,1,1,NA,2,4,2,NA,NA,4,2,5,5,5,5,3,6,6,6,2,7,7,7,7,5,5,4,4,The summary is about how inflation is affecting our country.,1,4,4,4,50,4,1,1,1,1,1,7,1,1,4,4,4,4,4,4,4,2,7,3,7,4,7,4,4,6,7,7,7,5,5,5,5,7,7,7,7,7,NA,Condition4:Economy(Control) ,PBC_1|PBW_1|PBRF_1,1,1,Control,Control,Control
2/6/23 12:51,2/6/23 12:57,100,337,1,2/6/23 12:57,EN,0.899999976,1,NA,58,2,2,1,1,1,NA,1,7,1,NA,NA,7,6,7,7,7,7,6,6,4,6,4,4,4,6,6,5,5,4,4,European heritage,1,6,6,7,88,6,2,4,2,4,4,4,4,3,7,7,7,7,7,7,7,2,5,2,7,4,7,5,5,5,5,5,5,4,6,5,6,5,6,6,3,6,NA,Condition1:WhiteBias,PBRF_1|PBC_1|PBW_1,3.75,3,Anti-White,Anti-White,Anti-White
