StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,race,race_10_TEXT,age,gender,edu,usa,eng,rel_aff,rel_aff_13_TEXT,evang,religio,polaff,polaff_4_TEXT,pol_rd,ideo,manchk_wb,manchk2_wb,manchk_cb,manchk2_cb,manchk_ec,Q128,WhiteBias_Concern1,WhiteBias_Concern2,ChristianBias_Concern1,ChristianBias_Concern2,BlackBias_Concern1,BlackBias_Concern2,AP_1_1,AP_2,AP_3,AP_5_1,AP_6_1,AP_7,OCI_1,OCI_2,OCI_3,OCI_4,Fight4Christians,Fight4White,Fight4Black,Fight4Muslims,Fight4Jews,Fight4Atheists,Fight4Latin,wcp_1_1,wcp_2,wcp_3,wcp_4,wcp_5,wcp_6,Q132,PROLIFIC_PID,FL_6_DO,Condition_Christ,Condition_White,Condition,Offensive,WhiteBias_Concern,ChristianBias_Concern,BlackBias_Concern
4/21/23 18:39,4/21/23 18:48,100,587,1,4/21/23 18:48,EN,0.899999976,2,NA,55,2,4,1,1,1,NA,1,5,2,NA,NA,3,1,NA,NA,NA,NA,NA,7,6,5,5,1,1,0,7,1,7,7,3,7,7,7,7,7,7,1,1,1,3,1,75,4,6,6,6,6,63b78e4b32852d98febe4116,63b78e4b32852d98febe4116,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,7,6.5,5,1
4/21/23 18:49,4/21/23 18:53,100,268,1,4/21/23 18:53,EN,1,2,NA,44,1,3,1,1,1,NA,2,3,2,NA,NA,3,1,NA,NA,NA,NA,NA,7,7,5,5,1,1,3,7,1,7,6,1,7,7,6,7,6,7,1,1,4,1,1,60,5,7,7,6,7,63f2e107c4d0bc684b99d2c6,63f2e107c4d0bc684b99d2c6,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6.75,7,5,1
4/21/23 18:45,4/21/23 18:53,100,497,1,4/21/23 18:53,EN,1,2,NA,50,1,5,1,1,2,NA,NA,5,2,NA,NA,1,1,NA,NA,NA,NA,NA,7,7,4,3,1,1,9,7,1,7,1,1,3,5,5,5,3,7,1,2,2,5,3,100,7,2,6,5,6,642cf6a45ed69a008646853f,642cf6a45ed69a008646853f,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,4.5,7,3.5,1
4/21/23 18:52,4/21/23 18:57,100,328,1,4/21/23 18:57,EN,1,2,NA,52,2,6,1,1,1,NA,1,6,3,NA,2,4,NA,NA,1,NA,NA,NA,7,7,7,7,1,1,70,7,1,7,7,7,2,2,2,5,7,7,1,1,1,1,1,100,7,7,7,7,7,643abe2183fc66157d8b0b9c,643abe2183fc66157d8b0b9c,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,2.75,7,7,1
4/21/23 18:54,4/21/23 18:58,100,258,1,4/21/23 18:58,EN,1,2,NA,20,2,3,1,1,1,NA,1,7,2,NA,NA,4,NA,NA,NA,NA,1,NA,7,5,6,6,5,5,63,4,2,4,6,6,2,3,2,3,7,4,6,3,4,1,1,68,4,4,4,5,5,5fc6e8d96deb34412acec78f,5fc6e8d96deb34412acec78f,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,2.5,6,6,5
4/21/23 18:56,4/21/23 18:58,100,170,1,4/21/23 18:58,EN,0.899999976,2,NA,40,1,5,1,1,1,NA,2,7,2,NA,NA,4,3,1,NA,NA,NA,NA,4,4,4,4,4,4,53,4,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,22,4,3,3,3,4,63f688aaa4a19c78ebdfc479,63f688aaa4a19c78ebdfc479,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,4,4,4,4
4/21/23 18:44,4/21/23 19:00,100,932,1,4/21/23 19:00,EN,0.899999976,2,NA,50,1,3,1,1,1,NA,2,7,3,NA,1,4,NA,NA,NA,NA,1,NA,1,4,1,4,2,4,50,3,2,5,5,4,1,1,1,1,4,4,4,3,3,1,3,70,5,3,4,4,4,5ade6e74066c510001d43903,5ade6e74066c510001d43903,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1,2.5,2.5,3
4/21/23 18:57,4/21/23 19:00,100,190,1,4/21/23 19:00,EN,1,2,NA,45,2,5,1,1,1,NA,1,5,1,NA,NA,5,NA,NA,1,NA,NA,NA,5,6,7,6,4,4,51,6,1,7,7,5,4,4,3,5,6,6,4,3,4,2,3,95,6,6,6,6,6,62a7c4d5266dfb89bf94fec8,62a7c4d5266dfb89bf94fec8,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,4,5.5,6.5,4
4/21/23 18:54,4/21/23 19:01,100,444,1,4/21/23 19:01,EN,1,2,NA,39,2,6,1,1,1,NA,2,7,2,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,40,4,3,7,4,7,1,1,1,1,4,7,5,4,4,4,4,97,7,7,7,7,1,6064a0185b9ce0ca98b5e791,6064a0185b9ce0ca98b5e791,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1,1,1,1
4/21/23 18:54,4/21/23 19:02,100,538,1,4/21/23 19:03,EN,0.899999976,2,NA,38,2,5,1,1,13,Baptist,NA,1,3,NA,1,7,NA,NA,1,NA,NA,NA,2,3,7,7,1,1,9,5,4,5,7,4,1,1,1,2,7,4,1,1,1,1,1,80,5,4,5,7,7,63d17cf82715a833d22d42fb,63d17cf82715a833d22d42fb,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,1.25,2.5,7,1
4/21/23 18:58,4/21/23 19:04,100,360,1,4/21/23 19:04,EN,0.899999976,2,NA,52,1,3,1,1,1,NA,1,7,2,NA,NA,5,1,NA,NA,NA,NA,NA,7,7,4,4,1,1,1,7,1,7,4,2,2,6,6,7,4,7,1,1,2,6,1,60,5,7,7,1,1,643a2952413aace3f4e6d61b,643a2952413aace3f4e6d61b,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,5.25,7,4,1
4/21/23 18:55,4/21/23 19:05,100,602,1,4/21/23 19:05,EN,1,2,NA,50,1,5,1,1,1,NA,1,6,2,NA,NA,2,NA,NA,NA,NA,1,NA,6,6,6,6,6,6,89,2,2,6,6,5,2,6,2,6,6,6,6,6,6,2,6,96,6,6,6,6,6,6412796e7e970dbd78e2b491,6412796e7e970dbd78e2b491,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,4,6,6,6
4/21/23 18:45,4/21/23 19:05,100,1206,1,4/21/23 19:05,EN,1,2,NA,25,1,3,1,1,3,NA,NA,5,3,NA,2,1,NA,NA,1,NA,NA,NA,7,7,7,7,7,1,0,7,1,7,7,4,5,1,7,2,7,7,1,1,1,1,1,100,7,4,6,5,6,58adfc6e7cf56d0001f931a2,58adfc6e7cf56d0001f931a2,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,3.75,7,7,4
4/21/23 19:02,4/21/23 19:05,100,225,1,4/21/23 19:05,EN,0.800000012,2,NA,24,2,3,1,1,1,NA,2,4,2,NA,NA,2,NA,NA,1,NA,NA,NA,7,7,5,2,1,1,0,7,1,7,7,1,5,5,5,5,2,7,1,1,1,1,1,100,7,7,7,7,7,5a91068cdbdb470001ee7f2f,5a91068cdbdb470001ee7f2f,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,5,7,3.5,1
4/21/23 19:02,4/21/23 19:06,100,231,1,4/21/23 19:06,EN,0.899999976,2,NA,47,1,7,1,1,1,NA,2,6,3,NA,2,3,1,NA,NA,NA,NA,NA,7,7,6,6,1,1,0,7,1,7,7,1,6,6,4,6,6,7,1,1,4,2,2,0,1,7,6,6,6,5d1ccc7c7e747d0016183e65,5d1ccc7c7e747d0016183e65,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,5.5,7,6,1
4/21/23 19:02,4/21/23 19:06,100,224,1,4/21/23 19:06,EN,0.800000012,2,NA,25,1,4,1,1,1,NA,1,5,3,NA,2,4,1,NA,NA,NA,NA,NA,7,7,1,1,1,1,0,1,1,7,3,1,6,6,6,6,1,4,1,1,1,1,1,85,4,6,6,4,5,6400dde6a2159a3e6636f677,6400dde6a2159a3e6636f677,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6,7,1,1
4/21/23 19:04,4/21/23 19:06,100,152,1,4/21/23 19:06,EN,1,2,NA,32,1,6,1,1,1,NA,2,4,2,NA,NA,2,1,NA,NA,NA,NA,NA,7,7,5,5,1,1,0,7,1,7,6,2,7,6,7,7,6,7,1,1,1,1,1,100,5,7,7,7,7,62c79dafb9222348d5e5a90c,62c79dafb9222348d5e5a90c,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6.75,7,5,1
4/21/23 19:04,4/21/23 19:07,100,224,1,4/21/23 19:07,EN,1,2,NA,26,2,3,1,1,1,NA,2,5,2,NA,NA,3,1,NA,NA,NA,NA,NA,6,6,6,6,2,2,9,3,2,7,6,2,6,7,7,7,6,7,1,1,1,1,1,91,7,6,7,7,7,5cf5d7529681010001eeaecf,5cf5d7529681010001eeaecf,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6.75,6,6,2
4/21/23 19:05,4/21/23 19:08,100,141,1,4/21/23 19:08,EN,1,2,NA,25,2,5,1,1,1,NA,2,3,3,NA,2,2,NA,NA,NA,NA,1,NA,1,1,2,1,1,2,40,1,3,6,5,4,1,1,1,2,4,4,2,1,1,1,2,59,5,3,3,5,4,5b498dc7d1a12e0001af3952,5b498dc7d1a12e0001af3952,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.25,1,1.5,1.5
4/21/23 19:03,4/21/23 19:08,100,314,1,4/21/23 19:08,EN,1,2,NA,42,2,5,1,1,1,NA,1,7,2,NA,NA,2,NA,NA,1,NA,NA,NA,4,4,4,4,5,4,40,5,1,6,4,3,4,4,4,4,4,7,3,3,3,4,3,58,4,4,4,4,4,5f9b701704aa55229049cee0,5f9b701704aa55229049cee0,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,4,4,4,4.5
4/21/23 18:59,4/21/23 19:08,100,548,1,4/21/23 19:08,EN,1,2,NA,21,1,2,1,1,1,NA,1,5,2,NA,NA,5,NA,NA,1,NA,NA,NA,4,4,4,4,4,4,71,4,2,4,7,5,4,4,4,4,4,4,4,4,4,4,4,80,4,4,4,4,4,62f2cf34cfe462f8f2395eba,62f2cf34cfe462f8f2395eba,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,4,4,4,4
4/21/23 19:06,4/21/23 19:09,100,174,1,4/21/23 19:09,EN,1,2,NA,36,1,3,1,1,1,NA,1,5,2,NA,NA,6,NA,NA,NA,NA,4,1,3,4,1,3,2,2,46,4,1,5,4,5,3,4,4,4,5,6,4,4,4,4,4,41,5,4,4,5,5,633f5252efab6885fedfad7d,633f5252efab6885fedfad7d,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,3.75,3.5,2,2
4/21/23 19:01,4/21/23 19:10,100,542,1,4/21/23 19:10,EN,1,2,NA,72,2,6,1,1,1,NA,2,5,2,NA,NA,1,NA,NA,NA,NA,1,NA,5,6,6,6,5,4,78,2,2,5,4,6,1,1,1,4,5,6,5,4,4,4,5,51,5,3,4,6,4,643391b41e914231722dd7ff,643391b41e914231722dd7ff,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.75,5.5,6,4.5
4/21/23 19:04,4/21/23 19:11,100,385,1,4/21/23 19:11,EN,0.899999976,2,NA,66,2,6,1,1,3,NA,NA,5,2,NA,NA,2,NA,NA,1,NA,NA,NA,4,5,7,7,2,2,25,7,1,6,7,3,3,3,2,6,7,6,2,1,1,1,3,100,7,7,7,7,6,63c1d50895843298a2267943,63c1d50895843298a2267943,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,3.5,4.5,7,2
4/21/23 19:05,4/21/23 19:12,100,376,1,4/21/23 19:12,EN,NA,2,NA,48,1,5,1,1,2,NA,NA,7,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,7,7,2,2,70,1,2,5,7,4,1,1,1,5,7,3,3,3,3,3,3,100,7,4,4,7,7,64001c3e48013fca28465267,64001c3e48013fca28465267,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,2,1,7,2
4/21/23 18:37,4/21/23 19:12,100,2091,1,4/21/23 19:12,EN,0.899999976,2,NA,19,2,2,1,1,2,NA,NA,5,3,NA,2,4,NA,NA,1,NA,NA,NA,1,1,7,7,1,1,21,7,1,7,7,1,2,1,2,6,7,4,1,1,1,1,1,100,7,4,5,7,7,62903fb4a5cf8345fc23c0af,62903fb4a5cf8345fc23c0af,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,2.75,1,7,1
4/21/23 19:05,4/21/23 19:12,100,443,1,4/21/23 19:12,EN,0.899999976,2,NA,38,2,6,1,1,2,NA,NA,6,2,NA,NA,7,1,NA,NA,NA,NA,NA,7,7,2,4,2,2,50,4,1,7,6,4,4,6,4,6,4,7,2,3,3,3,3,82,6,7,7,6,7,63f8d1f60a74a7e7fb4febd6,63f8d1f60a74a7e7fb4febd6,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,5,7,3,2
4/21/23 18:46,4/21/23 19:14,100,1653,1,4/21/23 19:14,EN,0.800000012,2,NA,26,1,5,1,1,1,NA,2,7,1,NA,NA,4,NA,NA,NA,NA,1,NA,5,6,5,5,7,7,82,6,1,6,5,5,1,2,1,1,5,7,3,3,3,3,2,71,5,3,4,6,5,603d6ae665fbaacb5621ede2,603d6ae665fbaacb5621ede2,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.25,5.5,5,7
4/21/23 19:10,4/21/23 19:14,100,257,1,4/21/23 19:14,EN,0.899999976,2,NA,37,1,2,1,1,1,NA,2,5,2,NA,NA,2,NA,NA,NA,NA,1,NA,6,6,3,3,2,2,50,7,1,6,4,5,2,2,2,3,3,6,3,3,4,4,3,60,4,5,5,3,3,5bf311373a5bf00001401f64,5bf311373a5bf00001401f64,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,2.25,6,3,2
4/21/23 19:13,4/21/23 19:15,100,121,1,4/21/23 19:15,EN,1,2,NA,27,1,3,1,1,1,NA,1,4,3,NA,2,4,1,NA,NA,NA,NA,NA,2,3,2,3,4,2,10,4,3,7,2,2,6,6,6,6,4,3,4,3,3,3,3,44,2,5,2,3,4,63e52919456a8ddfde596343,63e52919456a8ddfde596343,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6,2.5,2.5,3
4/21/23 19:08,4/21/23 19:15,100,415,1,4/21/23 19:15,EN,1,2,NA,65,2,5,1,1,1,NA,1,5,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,2,7,7,2,2,81,4,4,7,7,4,2,2,2,5,7,6,6,6,6,1,4,94,7,5,5,7,7,5fc50bb38378c80ac88354ef,5fc50bb38378c80ac88354ef,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,2.75,2,7,2
4/21/23 18:57,4/21/23 19:16,100,1098,1,4/21/23 19:16,EN,0.899999976,2,NA,68,2,6,1,1,1,NA,2,6,1,NA,NA,7,NA,NA,1,NA,NA,NA,4,4,6,6,4,4,50,3,2,4,6,5,3,5,3,6,6,4,4,1,4,1,4,50,4,4,4,6,6,64280499813dbaf11a99118a,64280499813dbaf11a99118a,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,4.25,4,6,4
4/21/23 19:08,4/21/23 19:17,100,561,1,4/21/23 19:17,EN,0.899999976,2,NA,42,2,5,1,1,1,NA,2,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,6,5,6,6,1,1,0,7,1,7,7,4,5,5,5,5,7,6,1,1,1,1,2,90,6,6,5,6,5,62e151e072a7512b2a596883,62e151e072a7512b2a596883,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian,5,5.5,6,1
4/21/23 19:04,4/21/23 19:18,100,820,1,4/21/23 19:18,EN,1,2,NA,27,1,5,1,1,2,NA,NA,2,2,NA,NA,3,NA,NA,NA,NA,1,NA,4,3,3,5,1,1,35,6,1,7,5,2,2,2,2,4,5,7,1,1,3,5,2,67,6,6,7,5,5,59a2f6d14d25e800012fcbde,59a2f6d14d25e800012fcbde,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,2.5,3.5,4,1
4/21/23 19:13,4/21/23 19:19,100,338,1,4/21/23 19:19,EN,1,2,NA,34,1,5,1,1,2,NA,NA,5,3,NA,2,3,1,NA,NA,NA,NA,NA,7,7,4,4,4,5,75,5,1,5,6,5,1,1,1,1,4,5,4,1,1,1,4,82,5,6,6,4,5,5d17227bab610c00170fd98d,5d17227bab610c00170fd98d,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,1,7,4,4.5
4/21/23 19:18,4/21/23 19:22,100,215,1,4/21/23 19:22,EN,1,2,NA,23,2,3,1,1,2,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,1,NA,2,4,2,4,2,4,45,5,1,6,6,4,1,2,2,1,4,4,3,2,4,4,3,71,5,4,4,4,4,60130d613d3ca613b04d39bb,60130d613d3ca613b04d39bb,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.5,3,3,3
4/21/23 19:01,4/21/23 19:22,100,1251,1,4/21/23 19:22,EN,1,2,NA,43,2,5,1,1,2,NA,NA,3,2,NA,NA,3,1,NA,NA,NA,NA,NA,6,5,4,4,2,2,0,7,1,7,4,3,6,7,5,6,4,7,1,1,2,1,3,85,5,7,7,4,4,55b1add5fdf99b6731f04c5a,55b1add5fdf99b6731f04c5a,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,6,5.5,4,2
4/21/23 19:15,4/21/23 19:22,100,396,1,4/21/23 19:22,EN,1,2,NA,29,1,3,1,1,1,NA,2,5,2,NA,NA,3,NA,NA,NA,NA,1,NA,5,5,5,5,4,4,75,5,3,6,6,6,1,4,1,1,5,5,4,4,4,4,4,66,6,6,6,7,7,5ec4a156bc5aac3819ac52f2,5ec4a156bc5aac3819ac52f2,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.75,5,5,4
4/21/23 19:16,4/21/23 19:22,100,385,1,4/21/23 19:22,EN,1,2,NA,72,2,6,1,1,1,NA,1,5,2,NA,NA,5,1,NA,NA,NA,NA,NA,4,4,1,2,4,5,50,4,2,6,5,4,3,5,5,6,1,7,1,1,2,1,1,61,5,4,5,5,5,608c451be10e84b9fc005f3e,608c451be10e84b9fc005f3e,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White,4.75,4,1.5,4.5
4/21/23 19:14,4/21/23 19:24,100,609,1,4/21/23 19:24,EN,0.800000012,2,NA,30,1,6,1,1,1,NA,1,7,3,NA,2,7,NA,NA,NA,NA,1,NA,6,5,6,5,6,6,72,7,3,4,5,5,6,5,4,5,6,4,5,4,5,4,5,71,5,6,6,5,5,63d6d8e21745f34be8ce7c35,63d6d8e21745f34be8ce7c35,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,5,5.5,5.5,6
4/21/23 19:17,4/21/23 19:25,100,454,1,4/21/23 19:25,EN,1,2,NA,36,2,3,1,1,2,NA,NA,6,2,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,1,1,1,2,75,3,2,7,7,5,1,1,1,2,7,7,7,7,7,6,7,85,6,4,5,4,5,6409110921de1c850a685bf6,6409110921de1c850a685bf6,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control,1.25,1.5,1,1.5
